id,site,site_id,job_title,area,due_date,work_location,work_type,link,ingestion_ts,is_new
Nikita-https://www.nikita.se/lediga-uppdrag/projektledare-it-infrastruktur/,Nikita,https://www.nikita.se/lediga-uppdrag/projektledare-it-infrastruktur/,IT-säkerhetskonsult med fokus på backup & återläsning,nan,nan,nan,nan,https://www.nikita.se/lediga-uppdrag/projektledare-it-infrastruktur/,2025-09-19 10:43:18,False
Upgraded-https://upgraded.se/konsultuppdrag/128521-pam-cyberark-it-security-consultant/,Upgraded,https://upgraded.se/konsultuppdrag/128521-pam-cyberark-it-security-consultant/,PAM/CyberArk IT Security Consultant.,IT Security Consultant,2025-09-22,Helsinki,nan,https://upgraded.se/konsultuppdrag/128521-pam-cyberark-it-security-consultant/,2025-09-19 10:43:19,False
Upgraded-https://upgraded.se/konsultuppdrag/128494-digital-asic-designer-technical-lead-2/,Upgraded,https://upgraded.se/konsultuppdrag/128494-digital-asic-designer-technical-lead-2/,Digital ASIC Designer / Technical Lead,System Developer,2025-09-24,Lund,nan,https://upgraded.se/konsultuppdrag/128494-digital-asic-designer-technical-lead-2/,2025-09-19 10:43:19,False
Upgraded-https://upgraded.se/konsultuppdrag/128359-teknisk-projektledare-kravledare-kravhanterare/,Upgraded,https://upgraded.se/konsultuppdrag/128359-teknisk-projektledare-kravledare-kravhanterare/,"Teknisk Business Analyst/Kravledare, Kravhanterare",Kravledare,2025-09-24,Stockholm,nan,https://upgraded.se/konsultuppdrag/128359-teknisk-projektledare-kravledare-kravhanterare/,2025-09-19 10:43:19,False
Upgraded-https://upgraded.se/konsultuppdrag/128358-embedded-software-integration-engineer-3/,Upgraded,https://upgraded.se/konsultuppdrag/128358-embedded-software-integration-engineer-3/,Embedded Software Integration Engineer,Software Engineer,2025-10-01,"Göteborg, SE",nan,https://upgraded.se/konsultuppdrag/128358-embedded-software-integration-engineer-3/,2025-09-19 10:43:19,False
Upgraded-https://upgraded.se/konsultuppdrag/128353-lead-engineering-project-senior-level/,Upgraded,https://upgraded.se/konsultuppdrag/128353-lead-engineering-project-senior-level/,Lead – Engineering Project (Senior Level),Lead Engineer,2025-09-25,Uppsala,nan,https://upgraded.se/konsultuppdrag/128353-lead-engineering-project-senior-level/,2025-09-19 10:43:19,False
Upgraded-https://upgraded.se/konsultuppdrag/128352-embedded-software-product-owner-3/,Upgraded,https://upgraded.se/konsultuppdrag/128352-embedded-software-product-owner-3/,Embedded Software Product Owner,Product Owner,2025-09-30,Göteborg,nan,https://upgraded.se/konsultuppdrag/128352-embedded-software-product-owner-3/,2025-09-19 10:43:19,False
Afry-a71ffda3-b047-4e66-8ca4-1d0802e7093f,Afry,a71ffda3-b047-4e66-8ca4-1d0802e7093f,Arbetsmiljöingenjör - 130kV ställverk,"Energy (Power generation, T&D and Renewables) Health, Safety and Environment",2025-10-02,Västerbottens län,nan,https://portal.afry.com/available-assignments/search/a71ffda3-b047-4e66-8ca4-1d0802e7093f,2025-09-19 15:56:28,False
Afry-7dc22f61-c277-494b-b475-94b31d450309,Afry,7dc22f61-c277-494b-b475-94b31d450309,BPM008429 Senior Javautvecklare med Linux kompetenser,Java Software Engineering and Test Linux,2025-09-24,Västra Götalands län,nan,https://portal.afry.com/available-assignments/search/7dc22f61-c277-494b-b475-94b31d450309,2025-09-19 15:56:28,False
Afry-6c77c5b8-7be0-4847-bb74-ab841e4def24,Afry,6c77c5b8-7be0-4847-bb74-ab841e4def24,Systemutvecklare med AI-kompetens,IT and Industrial IT Software Engineering and Test,2025-09-28,Stockholms län Kalmar län,nan,https://portal.afry.com/available-assignments/search/6c77c5b8-7be0-4847-bb74-ab841e4def24,2025-09-19 15:56:28,False
